eu_rank,ime_uni,mesto,drzava,svetovni_rank,drzavni_rank,uni_url,velikost,selektivnost,leto_ustanovitve,cena_solanja,zgornja_meja_cene
107,University of Bath,Bath,United Kingdom,278,26,https://www.unirank.org/gb/uni/university-of-bath/,large-sized,extremely selective,1966,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
108,Stockholms universitet,Stockholm,Sweden,283,6,https://www.unirank.org/se/uni/stockholms-universitet/,very large-sized,not reported,1878,0-999 US$ (0-910 Euro),999 US$
109,Universität Innsbruck,Innsbruck,Austria,284,3,https://www.unirank.org/at/uni/universitat-innsbruck/,large-sized,not available,1669,0-999 US$ (0-910 Euro),999 US$
110,University of Sheffield,Sheffield,United Kingdom,286,27,https://www.unirank.org/gb/uni/university-of-sheffield/,large-sized,not reported,1905,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
111,University of Reading,Reading,United Kingdom,287,28,https://www.unirank.org/gb/uni/university-of-reading/,large-sized,not reported,1892,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
112,Universidad de Sevilla,Seville,Spain,289,10,https://www.unirank.org/es/uni/universidad-de-sevilla/,very large-sized,not reported,1505,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
113,Technische Universität Darmstadt,Darmstadt,Germany,291,24,https://www.unirank.org/de/uni/technische-universitat-darmstadt/,large-sized,not available,1877,0-999 US$ (0-910 Euro),999 US$
114,Uniwersytet Warszawski,Warsaw,Poland,292,1,https://www.unirank.org/pl/uni/uniwersytet-warszawski/,very large-sized,very selective,1816,0-999 US$ (0-910 Euro),999 US$
115,Danmarks Tekniske Universitet,Kongens Lyngby,Denmark,295,3,https://www.unirank.org/dk/uni/danmarks-tekniske-universitet/,medium-sized,not reported,1829,0-999 US$ (0-910 Euro),999 US$
116,University of Leicester,Leicester,United Kingdom,296,29,https://www.unirank.org/gb/uni/university-of-leicester/,large-sized,not reported,1957,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
117,Universidade do Porto,Porto,Portugal,297,2,https://www.unirank.org/pt/uni/universidade-do-porto/,very large-sized,not reported,1911,0-999 US$ (0-910 Euro),999 US$
118,Univerzitet u Beogradu,Belgrade,Serbia,299,1,https://www.unirank.org/rs/uni/univerzitet-u-beogradu/,very large-sized,not reported,1905,Not reported,Not reported
119,Radboud Universiteit,Nijmegen,Netherlands,304,10,https://www.unirank.org/nl/uni/radboud-universiteit/,large-sized,not reported,1923,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
120,Heinrich-Heine-Universität Düsseldorf,Düsseldorf,Germany,306,25,https://www.unirank.org/de/uni/heinrich-heine-universitat-dusseldorf/,large-sized,not reported,1965,0-999 US$ (0-910 Euro),999 US$
121,Universität Bremen,Bremen,Germany,308,26,https://www.unirank.org/de/uni/universitat-bremen/,large-sized,not reported,1971,0-999 US$ (0-910 Euro),999 US$
122,Julius-Maximilians-Universität Würzburg,Würzburg,Germany,317,27,https://www.unirank.org/de/uni/julius-maximilians-universitat-wurzburg/,large-sized,not reported,1402,0-999 US$ (0-910 Euro),999 US$
123,University of Sussex,Brighton,United Kingdom,318,30,https://www.unirank.org/gb/uni/university-of-sussex/,large-sized,not reported,1961,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
124,University College Dublin,Dublin,Ireland,319,2,https://www.unirank.org/ie/uni/university-college-dublin/,large-sized,very selective,1854,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
125,Università degli Studi di Pisa,Pisa,Italy,320,7,https://www.unirank.org/it/uni/universita-degli-studi-di-pisa/,very large-sized,very selective,1343,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
126,Université Libre de Bruxelles,Brussels,Belgium,321,5,https://www.unirank.org/be/uni/universite-libre-de-bruxelles/,large-sized,not available,1834,0-999 US$ (0-910 Euro),999 US$
127,Politecnico di Torino,Turin,Italy,329,8,https://www.unirank.org/it/uni/politecnico-di-torino/,large-sized,not reported,1859,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
128,Chalmers tekniska högskola,Gothenburg,Sweden,331,7,https://www.unirank.org/se/uni/chalmers-tekniska-hogskola/,medium-sized,moderately selective,1829,0-999 US$ (0-910 Euro),999 US$
129,Eötvös Loránd Tudományegyetem,Budapest,Hungary,333,1,https://www.unirank.org/hu/uni/eotvos-lorand-tudomanyegyetem/,very large-sized,very selective,1635,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
130,Universität Basel,Basel,Switzerland,336,6,https://www.unirank.org/ch/uni/universitat-basel/,medium-sized,not reported,1460,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
131,Umeå universitet,Umeå,Sweden,337,8,https://www.unirank.org/se/uni/umea-universitet/,large-sized,not reported,1965,0-999 US$ (0-910 Euro),999 US$
132,Université de Lorraine,Nancy,France,338,5,https://www.unirank.org/fr/uni/universite-de-lorraine/,very large-sized,extremely selective,2012,0-999 US$ (0-910 Euro),999 US$
133,Queen's University Belfast,Belfast,United Kingdom,339,31,https://www.unirank.org/gb/uni/queen-s-university-belfast/,large-sized,very selective,1849,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
134,Universität Bielefeld,Bielefeld,Germany,343,28,https://www.unirank.org/de/uni/universitat-bielefeld/,large-sized,not available,1969,0-999 US$ (0-910 Euro),999 US$
135,Univerza v Ljubljani,Ljubljana,Slovenia,344,1,https://www.unirank.org/si/uni/univerza-v-ljubljani/,very large-sized,not reported,1919,Not reported,Not reported
136,Université Grenoble Alpes,Saint-Martin-d'Hères,France,345,6,https://www.unirank.org/fr/uni/universite-grenoble-alpes/,very large-sized,not reported,1339,0-999 US$ (0-910 Euro),999 US$
137,Université de Bordeaux,Bordeaux,France,346,7,https://www.unirank.org/fr/uni/universite-de-bordeaux/,very large-sized,not reported,1441,0-999 US$ (0-910 Euro),999 US$
138,University of East Anglia,Norwich,United Kingdom,347,32,https://www.unirank.org/gb/uni/university-of-east-anglia/,large-sized,not reported,1963,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
139,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,Kaiserslautern,Germany,349,29,https://www.unirank.org/de/uni/rheinland-pfalzische-technische-universitat-kaiserslautern-landau/,large-sized,not available,1970,0-999 US$ (0-910 Euro),999 US$
140,Christian-Albrechts-Universität zu Kiel,Kiel,Germany,353,30,https://www.unirank.org/de/uni/christian-albrechts-universitat-zu-kiel/,large-sized,not available,1665,0-999 US$ (0-910 Euro),999 US$
141,Universidad Pompeu Fabra,Barcelona,Spain,355,11,https://www.unirank.org/es/uni/universidad-pompeu-fabra/,large-sized,not reported,1990,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
142,University of Kent,Canterbury,United Kingdom,358,33,https://www.unirank.org/gb/uni/university-of-kent/,large-sized,not reported,1965,"12,500-14,999 US$ (11,390-13,670 Euro)","14,999 US$"
